YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 1460 sec: 5644889 operations; 3653.8 current ops/sec; [INSERT AverageLatency(ms)=8] 
 1470 sec: 5679317 operations; 3441.42 current ops/sec;  
 1480 sec: 5707636 operations; 2831.33 current ops/sec;  
 1490 sec: 5730592 operations; 2294.91 current ops/sec; [INSERT AverageLatency(ms)=35] 
 1500 sec: 5762665 operations; 3206.34 current ops/sec; [INSERT AverageLatency(ms)=23] 
 1510 sec: 5798623 operations; 3595.08 current ops/sec;  
 1520 sec: 5834147 operations; 3551.33 current ops/sec;  
 1530 sec: 5869323 operations; 3516.55 current ops/sec;  
 1540 sec: 5905938 operations; 3660.77 current ops/sec;  
 1550 sec: 5940461 operations; 3451.26 current ops/sec;  
 1560 sec: 5975436 operations; 3496.45 current ops/sec; [INSERT AverageLatency(ms)=16] 
 1570 sec: 6011713 operations; 3626.97 current ops/sec;  
 1580 sec: 6048899 operations; 3717.48 current ops/sec; [INSERT AverageLatency(ms)=33] 
 1590 sec: 6084257 operations; 3534.74 current ops/sec;  
 1600 sec: 6119762 operations; 3549.79 current ops/sec;  
 1610 sec: 6155225 operations; 3545.24 current ops/sec;  
 1620 sec: 6172888 operations; 1765.77 current ops/sec;  
 1630 sec: 6200953 operations; 2805.94 current ops/sec;  
 1640 sec: 6236190 operations; 3522.64 current ops/sec;  
 1650 sec: 6272241 operations; 3604.02 current ops/sec;  
 1660 sec: 6309196 operations; 3694.39 current ops/sec;  
 1670 sec: 6345721 operations; 3651.77 current ops/sec;  
 1680 sec: 6381930 operations; 3619.81 current ops/sec;  
 1690 sec: 6417596 operations; 3565.89 current ops/sec;  
 1700 sec: 6454489 operations; 3688.19 current ops/sec;  
 1710 sec: 6489661 operations; 3516.15 current ops/sec;  
 1720 sec: 6525374 operations; 3570.59 current ops/sec;  
 1730 sec: 6560560 operations; 3517.54 current ops/sec;  
 1740 sec: 6583717 operations; 2315.01 current ops/sec;  
 1750 sec: 6609766 operations; 2604.12 current ops/sec;  
 1760 sec: 6645983 operations; 3620.98 current ops/sec; [INSERT AverageLatency(ms)=35.33] 
 1770 sec: 6681978 operations; 3598.42 current ops/sec;  
 1780 sec: 6717164 operations; 3517.54 current ops/sec; [INSERT AverageLatency(ms)=5.67] 
 1790 sec: 6753178 operations; 3600.68 current ops/sec;  
 1800 sec: 6789792 operations; 3660.3 current ops/sec;  
