YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=2000 -s
 0 sec: 0 operations; 
 1760 sec: 8488745 operations; 7332.3 current ops/sec; [INSERT AverageLatency(ms)=7.8] 
 1770 sec: 8524681 operations; 3592.88 current ops/sec;  
 1780 sec: 8524681 operations; 0 current ops/sec;  
 1790 sec: 8524681 operations; 0 current ops/sec;  
 1800 sec: 8524681 operations; 0 current ops/sec;  
 1810 sec: 8524681 operations; 0 current ops/sec;  
 1820 sec: 8524681 operations; 0 current ops/sec;  
 1830 sec: 8541856 operations; 1717.16 current ops/sec; [INSERT AverageLatency(ms)=8] 
 1840 sec: 8588976 operations; 4710.59 current ops/sec;  
 1850 sec: 8653840 operations; 6484.45 current ops/sec;  
 1860 sec: 8724091 operations; 7023.7 current ops/sec;  
 1870 sec: 8791574 operations; 6746.28 current ops/sec; [INSERT AverageLatency(ms)=8] 
 1880 sec: 8864663 operations; 7305.25 current ops/sec; [INSERT AverageLatency(ms)=11] 
 1890 sec: 8912158 operations; 4747.6 current ops/sec;  
 1900 sec: 8912158 operations; 0 current ops/sec;  
 1910 sec: 8912158 operations; 0 current ops/sec;  
 1920 sec: 8912158 operations; 0 current ops/sec;  
 1930 sec: 8912158 operations; 0 current ops/sec;  
 1940 sec: 8930570 operations; 1840.65 current ops/sec;  
 1950 sec: 8987256 operations; 5666.9 current ops/sec; [INSERT AverageLatency(ms)=8] 
 1960 sec: 9059800 operations; 7252.95 current ops/sec; [INSERT AverageLatency(ms)=7] 
 1970 sec: 9122792 operations; 6297.31 current ops/sec; [INSERT AverageLatency(ms)=38] 
 1980 sec: 9170476 operations; 4766.97 current ops/sec;  
 1990 sec: 9170476 operations; 0 current ops/sec;  
 2000 sec: 9170476 operations; 0 current ops/sec;  
 2010 sec: 9170476 operations; 0 current ops/sec;  
 2020 sec: 9195410 operations; 2492.9 current ops/sec; [INSERT AverageLatency(ms)=8.8] 
 2030 sec: 9272340 operations; 7690.69 current ops/sec;  
 2040 sec: 9330006 operations; 5764.87 current ops/sec; [INSERT AverageLatency(ms)=39.67] 
 2050 sec: 9409830 operations; 7980.8 current ops/sec;  
 2060 sec: 9428794 operations; 1895.83 current ops/sec;  
 2070 sec: 9428794 operations; 0 current ops/sec;  
 2080 sec: 9428794 operations; 0 current ops/sec;  
 2090 sec: 9428794 operations; 0 current ops/sec;  
 2100 sec: 9431218 operations; 242.33 current ops/sec;  
 2110 sec: 9485860 operations; 5462.56 current ops/sec; [INSERT AverageLatency(ms)=9] 
 2120 sec: 9565930 operations; 8005.4 current ops/sec;  
 2130 sec: 9640267 operations; 7431.47 current ops/sec;  
 2140 sec: 9709260 operations; 6897.23 current ops/sec;  
 2150 sec: 9789130 operations; 7985.4 current ops/sec;  
 2160 sec: 9816271 operations; 2713.29 current ops/sec;  
 2170 sec: 9816271 operations; 0 current ops/sec;  
 2180 sec: 9816271 operations; 0 current ops/sec;  
 2190 sec: 9816271 operations; 0 current ops/sec;  
 2200 sec: 9816271 operations; 0 current ops/sec;  
 2210 sec: 9837220 operations; 2094.48 current ops/sec;  
 2220 sec: 9914924 operations; 7768.07 current ops/sec;  
 2230 sec: 9976780 operations; 6183.74 current ops/sec; [INSERT AverageLatency(ms)=36.8] 
 2233 sec: 10000000 operations; 7538.96 current ops/sec;  
[OVERALL], RunTime(ms), 2233683.0
[OVERALL], Throughput(ops/sec), 4476.911003038479
[INSERT], Operations, 10000000
[INSERT], AverageLatency(ms), 22.3250263
[INSERT], MinLatency(ms), 0
