========= C++ THREADED
01:32:07 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:16 AM    7   44.44    0.00   48.48    0.00    0.00    7.07    0.00    0.00      0.00
01:32:16 AM    8   47.52    0.00   42.57    0.00    0.00    9.90    0.00    0.00      0.00
01:32:16 AM    9   44.55    0.00   44.55    0.00    0.00    8.91    0.00    1.98      0.00
01:32:16 AM   10   46.53    0.00   45.54    0.00    0.00    7.92    0.00    0.00      1.00
01:32:16 AM   11   45.00    0.00   45.00    0.00    0.00    9.00    0.00    1.00      0.00
01:32:16 AM   12   43.56    0.00   46.53    0.00    0.00    8.91    0.00    0.99      0.00
01:32:16 AM   13   44.44    0.00   47.47    0.00    0.00    7.07    0.00    1.01      1.00
01:32:16 AM   14   43.56    0.00   48.51    0.00    0.00    7.92    0.00    0.00      1.00
01:32:16 AM   15   43.56    0.00   48.51    0.00    0.00    6.93    0.00    0.99     11.00

01:32:16 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:17 AM  all   45.76    0.00   45.32    0.00    0.00    8.18    0.00    0.75   1017.00
01:32:17 AM    0   53.00    0.00   27.00    0.00    0.00   19.00    0.00    1.00   1001.00
01:32:17 AM    1   43.14    0.00   48.04    0.00    0.00    7.84    0.00    0.98      0.00
01:32:17 AM    2   44.55    0.00   46.53    0.00    0.00    6.93    0.00    1.98      0.00
01:32:17 AM    3   48.00    0.00   45.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:17 AM    4   46.00    0.00   45.00    0.00    0.00    8.00    0.00    1.00      1.00
01:32:17 AM    5   46.46    0.00   46.46    0.00    0.00    7.07    0.00    0.00      0.00
01:32:17 AM    6   45.00    0.00   48.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:17 AM    7   44.55    0.00   46.53    0.00    0.00    7.92    0.00    0.99      0.00
01:32:17 AM    8   44.44    0.00   43.43    0.00    0.00   11.11    0.00    1.01      0.00
01:32:17 AM    9   46.00    0.00   45.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:17 AM   10   46.00    0.00   47.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:17 AM   11   45.00    0.00   48.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:17 AM   12   42.00    0.00   48.00    0.00    0.00    9.00    0.00    1.00      1.00
01:32:17 AM   13   46.00    0.00   47.00    0.00    0.00    7.00    0.00    0.00      2.00
01:32:17 AM   14   44.55    0.00   47.52    0.00    0.00    6.93    0.00    0.99      2.00
01:32:17 AM   15   45.45    0.00   46.46    0.00    0.00    8.08    0.00    0.00     10.00

01:32:17 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:18 AM  all   45.56    0.00   45.25    0.00    0.00    8.81    0.00    0.38   1010.00
01:32:18 AM    0   52.00    0.00   29.00    0.00    0.00   18.00    0.00    1.00   1001.00
01:32:18 AM    1   47.47    0.00   44.44    0.00    0.00    8.08    0.00    0.00      0.00
01:32:18 AM    2   44.55    0.00   47.52    0.00    0.00    7.92    0.00    0.00      0.00
01:32:18 AM    3   43.56    0.00   47.52    0.00    0.00    8.91    0.00    0.00      0.00
01:32:18 AM    4   46.00    0.00   46.00    0.00    0.00    8.00    0.00    0.00      0.00
01:32:18 AM    5   48.00    0.00   44.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:18 AM    6   44.00    0.00   48.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:18 AM    7   42.42    0.00   50.51    0.00    0.00    7.07    0.00    0.00      0.00
01:32:18 AM    8   48.00    0.00   42.00    0.00    0.00   10.00    0.00    0.00      0.00
01:32:18 AM    9   42.42    0.00   48.48    0.00    0.00    9.09    0.00    0.00      0.00
01:32:18 AM   10   46.46    0.00   45.45    0.00    0.00    8.08    0.00    0.00      0.00
01:32:18 AM   11   45.54    0.00   46.53    0.00    0.00    7.92    0.00    0.00      0.00
01:32:18 AM   12   45.00    0.00   47.00    0.00    0.00    8.00    0.00    0.00      0.00
01:32:18 AM   13   47.06    0.00   44.12    0.00    0.00    7.84    0.00    0.98      1.00
01:32:18 AM   14   44.90    0.00   46.94    0.00    0.00    8.16    0.00    0.00      2.00
01:32:18 AM   15   43.56    0.00   47.52    0.00    0.00    7.92    0.00    0.99      6.00

01:32:18 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:19 AM  all   42.13    0.00   49.56    0.00    0.00    7.87    0.00    0.44   1015.00
01:32:19 AM    0   51.00    0.00   30.00    0.00    0.00   18.00    0.00    1.00   1001.00
01:32:19 AM    1   44.44    0.00   49.49    0.00    0.00    6.06    0.00    0.00      0.00
01:32:19 AM    2   44.00    0.00   48.00    0.00    0.00    8.00    0.00    0.00      0.00
01:32:19 AM    3   41.00    0.00   50.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:19 AM    4   41.00    0.00   51.00    0.00    0.00    8.00    0.00    0.00      1.00
01:32:19 AM    5   39.60    0.00   52.48    0.00    0.00    7.92    0.00    0.00      0.00
01:32:19 AM    6   39.60    0.00   51.49    0.00    0.00    8.91    0.00    0.00      0.00
01:32:19 AM    7   41.58    0.00   52.48    0.00    0.00    4.95    0.00    0.99      0.00
01:32:19 AM    8   42.57    0.00   46.53    0.00    0.00    9.90    0.00    0.99      0.00
01:32:19 AM    9   42.57    0.00   49.50    0.00    0.00    6.93    0.00    0.99      0.00
01:32:19 AM   10   39.00    0.00   52.00    0.00    0.00    7.00    0.00    2.00      0.00
01:32:19 AM   11   41.00    0.00   51.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:19 AM   12   43.43    0.00   50.51    0.00    0.00    6.06    0.00    0.00      1.00
01:32:19 AM   13   40.82    0.00   53.06    0.00    0.00    6.12    0.00    0.00      2.00
01:32:19 AM   14   41.18    0.00   50.00    0.00    0.00    7.84    0.00    0.98      2.00
01:32:19 AM   15   39.00    0.00   54.00    0.00    0.00    7.00    0.00    0.00      8.00

01:32:19 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:20 AM  all   40.47    0.00   50.91    0.00    0.00    8.00    0.00    0.62   1027.27
01:32:20 AM    0   50.51    0.00   28.28    0.00    0.00   21.21    0.00    0.00   1011.11
01:32:20 AM    1   40.59    0.00   50.50    0.00    0.00    7.92    0.00    0.99      0.00
01:32:20 AM    2   39.00    0.00   53.00    0.00    0.00    8.00    0.00    0.00      0.00
01:32:20 AM    3   40.40    0.00   52.53    0.00    0.00    7.07    0.00    0.00      0.00
01:32:20 AM    4   38.61    0.00   53.47    0.00    0.00    6.93    0.00    0.99      3.03
01:32:20 AM    5   40.00    0.00   52.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:20 AM    6   38.38    0.00   54.55    0.00    0.00    7.07    0.00    0.00      0.00
01:32:20 AM    7   40.00    0.00   54.00    0.00    0.00    6.00    0.00    0.00      0.00
01:32:20 AM    8   41.00    0.00   50.00    0.00    0.00    9.00    0.00    0.00      0.00
01:32:20 AM    9   40.00    0.00   53.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:20 AM   10   41.58    0.00   49.50    0.00    0.00    7.92    0.00    0.99      0.00
01:32:20 AM   11   38.61    0.00   53.47    0.00    0.00    6.93    0.00    0.99      0.00
01:32:20 AM   12   38.61    0.00   53.47    0.00    0.00    6.93    0.00    0.99      0.00
01:32:20 AM   13   40.59    0.00   52.48    0.00    0.00    5.94    0.00    0.99      1.01
01:32:20 AM   14   41.00    0.00   51.00    0.00    0.00    7.00    0.00    1.00      5.05
01:32:20 AM   15   40.40    0.00   52.53    0.00    0.00    7.07    0.00    0.00      7.07

01:32:20 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:21 AM  all   40.01    0.00   50.75    0.00    0.00    8.49    0.00    0.75   1002.97
01:32:21 AM    0   47.52    0.00   30.69    0.00    0.00   20.79    0.00    0.99    991.09
01:32:21 AM    1   38.00    0.00   55.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:21 AM    2   40.00    0.00   50.00    0.00    0.00    9.00    0.00    1.00      0.00
01:32:21 AM    3   40.59    0.00   51.49    0.00    0.00    6.93    0.00    0.99      0.00
01:32:21 AM    4   40.00    0.00   53.00    0.00    0.00    6.00    0.00    1.00      0.99
01:32:21 AM    5   40.00    0.00   53.00    0.00    0.00    6.00    0.00    1.00      0.00
01:32:21 AM    6   40.00    0.00   50.00    0.00    0.00    9.00    0.00    1.00      0.00
01:32:21 AM    7   37.00    0.00   54.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:21 AM    8   41.00    0.00   49.00    0.00    0.00    9.00    0.00    1.00      0.00
01:32:21 AM    9   40.40    0.00   52.53    0.00    0.00    7.07    0.00    0.00      0.00
01:32:21 AM   10   41.41    0.00   51.52    0.00    0.00    7.07    0.00    0.00      0.00
01:32:21 AM   11   40.40    0.00   51.52    0.00    0.00    8.08    0.00    0.00      0.00
01:32:21 AM   12   37.62    0.00   54.46    0.00    0.00    6.93    0.00    0.99      0.99
01:32:21 AM   13   40.00    0.00   53.00    0.00    0.00    7.00    0.00    0.00      1.98
01:32:21 AM   14   37.37    0.00   53.54    0.00    0.00    9.09    0.00    0.00      1.98
01:32:21 AM   15   38.61    0.00   52.48    0.00    0.00    7.92    0.00    0.99      5.94

01:32:21 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:22 AM  all   40.06    0.00   51.06    0.00    0.00    8.31    0.00    0.56   1034.00
01:32:22 AM    0   48.00    0.00   31.00    0.00    0.00   21.00    0.00    0.00   1001.00
01:32:22 AM    1   43.00    0.00   48.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:22 AM    2   40.00    0.00   52.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:22 AM    3   39.00    0.00   52.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:22 AM    4   36.36    0.00   55.56    0.00    0.00    8.08    0.00    0.00      0.00
01:32:22 AM    5   41.00    0.00   51.00    0.00    0.00    8.00    0.00    0.00      0.00
01:32:22 AM    6   39.00    0.00   51.00    0.00    0.00    9.00    0.00    1.00      0.00
01:32:22 AM    7   42.00    0.00   51.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:22 AM    8   38.00    0.00   53.00    0.00    0.00    9.00    0.00    0.00      0.00
01:32:22 AM    9   39.00    0.00   52.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:22 AM   10   39.60    0.00   54.46    0.00    0.00    4.95    0.00    0.99      0.00
01:32:22 AM   11   40.00    0.00   52.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:22 AM   12   36.36    0.00   56.57    0.00    0.00    7.07    0.00    0.00      0.00
01:32:22 AM   13   41.00    0.00   52.00    0.00    0.00    6.00    0.00    1.00      1.00
01:32:22 AM   14   38.61    0.00   52.48    0.00    0.00    7.92    0.00    0.99      2.00
01:32:22 AM   15   41.00    0.00   51.00    0.00    0.00    7.00    0.00    1.00     30.00

01:32:22 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:23 AM  all   40.64    0.00   50.44    0.00    0.00    8.30    0.00    0.62   1010.00
01:32:23 AM    0   48.00    0.00   28.00    0.00    0.00   23.00    0.00    1.00   1001.00
01:32:23 AM    1   40.59    0.00   51.49    0.00    0.00    6.93    0.00    0.99      0.00
01:32:23 AM    2   40.00    0.00   52.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:23 AM    3   41.41    0.00   51.52    0.00    0.00    7.07    0.00    0.00      0.00
01:32:23 AM    4   41.58    0.00   50.50    0.00    0.00    6.93    0.00    0.99      1.00
01:32:23 AM    5   38.61    0.00   52.48    0.00    0.00    7.92    0.00    0.99      0.00
01:32:23 AM    6   41.00    0.00   52.00    0.00    0.00    7.00    0.00    0.00      0.00
01:32:23 AM    7   39.00    0.00   53.00    0.00    0.00    7.00    0.00    1.00      0.00
01:32:23 AM    8   40.00    0.00   51.00    0.00    0.00    8.00    0.00    1.00      0.00
01:32:23 AM    9   36.63    0.00   53.47    0.00    0.00    8.91    0.00    0.99      0.00
01:32:23 AM   10   40.59    0.00   50.50    0.00    0.00    7.92    0.00    0.99      0.00
01:32:23 AM   11   40.59    0.00   51.49    0.00    0.00    7.92    0.00    0.00      0.00
01:32:23 AM   12   42.00    0.00   50.00    0.00    0.00    7.00    0.00    1.00      1.00
01:32:23 AM   13   38.61    0.00   53.47    0.00    0.00    6.93    0.00    0.99      2.00
01:32:23 AM   14   39.00    0.00   53.00    0.00    0.00    7.00    0.00    1.00      2.00
01:32:23 AM   15   41.00    0.00   52.00    0.00    0.00    7.00    0.00    0.00      3.00

01:32:23 AM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
01:32:24 AM  all   39.26    0.00   51.06    0.00    0.00    8.68    0.00    1.00   1010.00
01:32:24 AM    0   45.00    0.00   29.00    0.00    0.00   25.00    0.00    1.00   1001.00
01:32:24 AM    1   38.38    0.00   52.53    0.00    0.00    8.08    0.00    1.01      0.00
01:32:24 AM    2   40.00    0.00   51.00    0.00    0.00    9.00    0.00    0.00      0.00
