YCSB Client 0.1
Command line: -load -db com.yahoo.ycsb.db.MapKeeperClient -P workloads/workloada -p measurementtype=timeseries -p timeseries.granularity=1000 -s
 0 sec: 0 operations; 
 115 sec: 5098630 operations; 44086.83 current ops/sec;  
 116 sec: 5144195 operations; 45519.48 current ops/sec;  
 117 sec: 5190688 operations; 46400.2 current ops/sec;  
 118 sec: 5234421 operations; 43645.71 current ops/sec; [INSERT AverageLatency(ms)=9] 
 119 sec: 5277973 operations; 43465.07 current ops/sec;  
 120 sec: 5321367 operations; 43307.39 current ops/sec;  
 121 sec: 5365342 operations; 43887.23 current ops/sec; [INSERT AverageLatency(ms)=8] 
 122 sec: 5408910 operations; 43481.04 current ops/sec;  
 123 sec: 5453994 operations; 44994.01 current ops/sec;  
 124 sec: 5497898 operations; 43816.37 current ops/sec;  
 125 sec: 5542270 operations; 44283.43 current ops/sec;  
 126 sec: 5587424 operations; 45063.87 current ops/sec;  
 127 sec: 5632583 operations; 45068.86 current ops/sec; [INSERT AverageLatency(ms)=7] 
 128 sec: 5678105 operations; 45431.14 current ops/sec;  
 129 sec: 5722100 operations; 43907.19 current ops/sec;  
 130 sec: 5765267 operations; 43080.84 current ops/sec;  
 131 sec: 5808452 operations; 43098.8 current ops/sec;  
 132 sec: 5851286 operations; 42748.5 current ops/sec;  
 133 sec: 5897357 operations; 45979.04 current ops/sec; [INSERT AverageLatency(ms)=5.53] 
 134 sec: 5941800 operations; 44354.29 current ops/sec;  
 135 sec: 5985584 operations; 43696.61 current ops/sec; [INSERT AverageLatency(ms)=6] 
 136 sec: 6030503 operations; 44829.34 current ops/sec; [INSERT AverageLatency(ms)=6] 
 137 sec: 6075300 operations; 44707.58 current ops/sec;  
 138 sec: 6119399 operations; 44010.98 current ops/sec;  
 139 sec: 6162600 operations; 43114.77 current ops/sec;  
 140 sec: 6206075 operations; 43388.22 current ops/sec;  
 141 sec: 6249789 operations; 43626.75 current ops/sec;  
 142 sec: 6293951 operations; 44073.85 current ops/sec;  
 143 sec: 6339419 operations; 45377.25 current ops/sec;  
 144 sec: 6385408 operations; 45897.21 current ops/sec;  
 145 sec: 6430682 operations; 45183.63 current ops/sec;  
 146 sec: 6475398 operations; 44626.75 current ops/sec; [INSERT AverageLatency(ms)=6] 
 147 sec: 6521334 operations; 45844.31 current ops/sec;  
 148 sec: 6565525 operations; 44102.79 current ops/sec; [INSERT AverageLatency(ms)=6.34] 
 149 sec: 6610696 operations; 45125.87 current ops/sec; [INSERT AverageLatency(ms)=7] 
 150 sec: 6651359 operations; 40581.84 current ops/sec;  
 151 sec: 6695203 operations; 43756.49 current ops/sec; [INSERT AverageLatency(ms)=5] 
 152 sec: 6739798 operations; 44505.99 current ops/sec;  
 153 sec: 6784237 operations; 44350.3 current ops/sec; [INSERT AverageLatency(ms)=6.32] 
 154 sec: 6829393 operations; 45065.87 current ops/sec;  
 155 sec: 6873261 operations; 43780.44 current ops/sec;  
 156 sec: 6916619 operations; 43271.46 current ops/sec;  
 157 sec: 6960314 operations; 43607.78 current ops/sec;  
 158 sec: 7004765 operations; 44362.28 current ops/sec; [INSERT AverageLatency(ms)=6.94] 
 159 sec: 7049412 operations; 44557.88 current ops/sec;  
 160 sec: 7093903 operations; 44402.2 current ops/sec;  
 161 sec: 7138787 operations; 44794.41 current ops/sec; [INSERT AverageLatency(ms)=7.71] 
 162 sec: 7183415 operations; 44494.52 current ops/sec;  
 163 sec: 7226686 operations; 43184.63 current ops/sec;  
 164 sec: 7270824 operations; 44049.9 current ops/sec;  
 165 sec: 7312958 operations; 42049.9 current ops/sec;  
 166 sec: 7356528 operations; 43483.03 current ops/sec; [INSERT AverageLatency(ms)=5] 
 167 sec: 7402509 operations; 45889.22 current ops/sec; [INSERT AverageLatency(ms)=7.78] 
 168 sec: 7447157 operations; 44558.88 current ops/sec; [INSERT AverageLatency(ms)=6] 
 169 sec: 7491527 operations; 44281.44 current ops/sec;  
 170 sec: 7535064 operations; 43450.1 current ops/sec;  
 171 sec: 7578998 operations; 43846.31 current ops/sec;  
 172 sec: 7622575 operations; 43490.02 current ops/sec; [INSERT AverageLatency(ms)=6] 
 173 sec: 7666257 operations; 43594.81 current ops/sec;  
 174 sec: 7710021 operations; 43676.65 current ops/sec;  
 175 sec: 7753827 operations; 43718.56 current ops/sec; [INSERT AverageLatency(ms)=5] 
 176 sec: 7796428 operations; 42515.97 current ops/sec; [INSERT AverageLatency(ms)=7.96] 
 177 sec: 7839334 operations; 42820.36 current ops/sec;  
 178 sec: 7884615 operations; 45190.62 current ops/sec;  
 179 sec: 7930173 operations; 45467.07 current ops/sec;  
 180 sec: 7974259 operations; 43998 current ops/sec;  
 181 sec: 8018042 operations; 43739.26 current ops/sec; [INSERT AverageLatency(ms)=8] 
 182 sec: 8061349 operations; 43220.56 current ops/sec; [INSERT AverageLatency(ms)=5] 
 183 sec: 8105321 operations; 43884.23 current ops/sec; [INSERT AverageLatency(ms)=8] 
 184 sec: 8149566 operations; 44156.69 current ops/sec;  
 185 sec: 8193361 operations; 43707.58 current ops/sec;  
 186 sec: 8237785 operations; 44335.33 current ops/sec;  
 187 sec: 8282416 operations; 44541.92 current ops/sec;  
 188 sec: 8326373 operations; 43869.26 current ops/sec;  
 189 sec: 8370610 operations; 44148.7 current ops/sec;  
 190 sec: 8416138 operations; 45437.13 current ops/sec; [INSERT AverageLatency(ms)=5] 
 191 sec: 8461457 operations; 45228.54 current ops/sec;  
